"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"276","145720","덴티움","KOSPI","의료정밀",66500,-1300,-1.92,736077195000
"277","002150","도화엔지니어링","KOSPI","서비스업",8220,70,0.86,277178400000
"278","001230","동국제강","KOSPI","철강금속",12200,900,7.96,1164279391400
"279","023450","동남합성","KOSPI","화학",65200,6100,10.32,2.35372e+11
"280","004140","동방","KOSPI","운수창고업",6660,-140,-2.06,266211961560
"281","007590","동방아그로","KOSPI","화학",6900,50,0.73,93961281300
"282","005960","동부건설","KOSPI","건설업",13450,350,2.67,305401174150
"283","005965","동부건설우","KOSPI","건설업",23500,750,3.3,5304702000
"284","026960","동서","KOSPI","유통업",32900,-400,-1.2,3.28013e+12
"285","002210","동성제약","KOSPI","의약품",12100,-100,-0.82,315821737000
"286","102260","동성코퍼레이션","KOSPI","서비스업",5360,20,0.37,235802544320
"287","005190","동성화학","KOSPI","화학",17400,200,1.16,92838813600
"288","000640","동아쏘시오홀딩스","KOSPI","기타금융",109500,500,0.46,674010387000
"289","170900","동아에스티","KOSPI","의약품",82900,-300,-0.36,699996657200
"290","028100","동아지질","KOSPI","건설업",17450,-100,-0.57,2.00675e+11
"291","282690","동아타이어","KOSPI","화학",11250,50,0.45,154496418750
"292","001520","동양","KOSPI","비금속광물",1395,5,0.36,332964267885
"293","001527","동양2우B","KOSPI","비금속광물",12100,50,0.41,3733684900
"294","001529","동양3우B","KOSPI","비금속광물",24500,200,0.82,2198189000
"295","084670","동양고속","KOSPI","운수창고업",23900,0,0,69204099100
"296","002900","동양물산","KOSPI","기계",1605,-5,-0.31,219688491825
"297","082640","동양생명","KOSPI","보험",4085,30,0.74,659149819725
"298","001525","동양우","KOSPI","비금속광물",6520,90,1.4,4027606120
"299","008970","동양철관","KOSPI","철강금속",1285,15,1.18,152767597650
"300","092780","동양피스톤","KOSPI","운수장비",5760,-10,-0.17,75850329600
"301","049770","동원F&B","KOSPI","음식료품",192000,-500,-0.26,740951808000
"302","018500","동원금속","KOSPI","운수장비",1195,0,0,55872144935
"303","006040","동원산업","KOSPI","농업, 임업 및 어업",261000,-2000,-0.76,959864301000
"304","030720","동원수산","KOSPI","농업, 임업 및 어업",8800,-30,-0.34,40953484000
"305","014820","동원시스템즈","KOSPI","화학",49800,500,1.01,1275801847800
"306","014825","동원시스템즈우","KOSPI","화학",33300,50,0.15,8836421400
"307","163560","동일고무벨트","KOSPI","화학",8800,40,0.46,1.2012e+11
"308","004890","동일산업","KOSPI","철강금속",79100,400,0.51,191834506500
"309","002690","동일제강","KOSPI","철강금속",3400,-60,-1.73,5.1e+10
"310","000020","동화약품","KOSPI","의약품",14200,0,0,396626874000
"311","000150","두산","KOSPI","서비스업",49650,1050,2.16,820408407750
"312","000157","두산2우B","KOSPI","서비스업",57400,1100,1.95,51260381200
"313","241560","두산밥캣","KOSPI","기계",39550,2550,6.89,3964854515300
"314","000155","두산우","KOSPI","서비스업",39400,500,1.29,157460602800
"315","042670","두산인프라코어","KOSPI","기계",10250,150,1.49,2219778478500
"316","034020","두산중공업","KOSPI","기계",12700,450,3.67,4757895348300
"317","336260","두산퓨얼셀","KOSPI","전기전자",50900,1900,3.88,3333630653400
"318","33626K","두산퓨얼셀1우","KOSPI","전기전자",15450,450,3,206476890000
"319","33626L","두산퓨얼셀2우B","KOSPI","전기전자",18450,250,1.37,55097235000
"320","016740","두올","KOSPI","운수장비",5150,185,3.73,139393402000
"321","192650","드림텍","KOSPI","전기전자",9540,-140,-1.45,628823166120
"322","024090","디씨엠","KOSPI","철강금속",15500,50,0.32,1.8135e+11
"323","003160","디아이","KOSPI","의료정밀",6860,30,0.44,216067945100
"324","092200","디아이씨","KOSPI","운수장비",3050,-50,-1.61,118610135450
"325","013570","디와이","KOSPI","기타금융",5550,-40,-0.72,146073963150
"326","210540","디와이파워","KOSPI","기계",18900,400,2.16,208688281200
"327","007340","디티알오토모티브","KOSPI","전기전자",30200,-200,-0.66,301818951000
"328","026890","디피씨","KOSPI","전기전자",11800,-50,-0.42,491802465000
"329","115390","락앤락","KOSPI","화학",14750,0,0,781862660500
"330","032350","롯데관광개발","KOSPI","서비스업",18950,-700,-3.56,1312773794900
"331","330590","롯데리츠","KOSPI","서비스업",5170,120,2.38,1256149130280
"332","000400","롯데손해보험","KOSPI","보험",1800,55,3.15,558605376000
"333","023530","롯데쇼핑","KOSPI","유통업",127000,2000,1.6,3592671885000
"334","004000","롯데정밀화학","KOSPI","화학",57400,400,0.7,1.48092e+12
"335","286940","롯데정보통신","KOSPI","서비스업",38100,0,0,586600211100
"336","280360","롯데제과","KOSPI","음식료품",128000,0,0,821339776000
"337","004990","롯데지주","KOSPI","기타금융",33650,750,2.28,3530195825050
"338","00499K","롯데지주우","KOSPI","기타금융",58600,100,0.17,57874707800
"339","005300","롯데칠성","KOSPI","음식료품",127000,0,0,1139840621000
"340","005305","롯데칠성우","KOSPI","음식료품",62900,200,0.32,48766999000
"341","011170","롯데케미칼","KOSPI","화학",304500,-3000,-0.98,10436865085500
"342","002270","롯데푸드","KOSPI","음식료품",375000,5000,1.35,424451250000
"343","071840","롯데하이마트","KOSPI","유통업",41400,1100,2.73,977359276800
